subj_idx,bias_source,bias_direction,addition_length,quantiles,boundary,value,p,experiment,model_name
S005,mullerlyer,long,60,0.9,q_lower,1.5957058048710524,0.5939999999999913,add_len,dczBDAL_sV
S005,mullerlyer,short,30,0.1,q_lower,0.44452211749129406,0.555466666666654,add_len,dczBDAL_sV
S005,mullerlyer,short,30,0.3,q_lower,0.580823705962827,0.555466666666654,add_len,dczBDAL_sV
S005,mullerlyer,short,30,0.5,q_lower,0.7564374413355922,0.555466666666654,add_len,dczBDAL_sV
S005,mullerlyer,short,30,0.7,q_lower,1.0465839437275295,0.555466666666654,add_len,dczBDAL_sV
S005,mullerlyer,short,30,0.9,q_lower,1.7568885560867968,0.555466666666654,add_len,dczBDAL_sV
S005,mullerlyer,short,40,0.1,q_lower,0.42276009245838353,0.8029466666666464,add_len,dczBDAL_sV
S005,mullerlyer,short,40,0.3,q_lower,0.5305109757411346,0.8029466666666464,add_len,dczBDAL_sV
S005,mullerlyer,short,40,0.5,q_lower,0.6627403241286666,0.8029466666666464,add_len,dczBDAL_sV
S005,mullerlyer,short,40,0.7,q_lower,0.8800448500542608,0.8029466666666464,add_len,dczBDAL_sV
S005,mullerlyer,short,40,0.9,q_lower,1.447157061708266,0.8029466666666464,add_len,dczBDAL_sV
S005,mullerlyer,short,50,0.1,q_lower,0.4419290621499138,0.5713557046979905,add_len,dczBDAL_sV
S005,mullerlyer,short,50,0.3,q_lower,0.578616706991021,0.5713557046979905,add_len,dczBDAL_sV
S005,mullerlyer,short,50,0.5,q_lower,0.7517637751622696,0.5713557046979905,add_len,dczBDAL_sV
S005,mullerlyer,short,50,0.7,q_lower,1.0319405971940645,0.5713557046979905,add_len,dczBDAL_sV
S005,mullerlyer,short,50,0.9,q_lower,1.7156209601533763,0.5713557046979905,add_len,dczBDAL_sV
S005,mullerlyer,short,60,0.1,q_lower,0.43103570278818126,0.6957600000000126,add_len,dczBDAL_sV
S005,mullerlyer,short,60,0.3,q_lower,0.5521067301131027,0.6957600000000126,add_len,dczBDAL_sV
S005,mullerlyer,short,60,0.5,q_lower,0.7046482371338979,0.6957600000000126,add_len,dczBDAL_sV
S005,mullerlyer,short,60,0.7,q_lower,0.954309556098234,0.6957600000000126,add_len,dczBDAL_sV
S005,mullerlyer,short,60,0.9,q_lower,1.582264971951874,0.6957600000000126,add_len,dczBDAL_sV
S006,mullerlyer,long,30,0.1,q_lower,0.39560681583563895,0.4121476510067106,add_len,dczBDAL_sV
S006,mullerlyer,long,30,0.3,q_lower,0.5339381524690892,0.4121476510067106,add_len,dczBDAL_sV
S006,mullerlyer,long,30,0.5,q_lower,0.7025576803830889,0.4121476510067106,add_len,dczBDAL_sV
